Species,Taxonomic Order,Family,N,Brain (mm3),Body (g),Brain Residual,Insularity,Migratory Behavior,Evi Anual Mean,Evi Amplitude Intra-Year,EVI CV Among Years,Diet Breadth,Developmental Mode,Developmental Time (days),Brain Source,,
Abroscopus_albogularis,PASSERIFORMES (PASSERIDA),Sylviidae,5,0.32,5,0.250822788,continental,Resident,0.40988732,0.084184883,0.011412792,0,altricial,NA,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Acanthagenys_rufogularis,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,8,1.16,47.8,0.272635457,continental,Resident,0.155915995,0.002445945,0.008841614,0.146766321,altricial,31,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Acanthiza_chrysorrhoa,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,5,0.43,9.4,0.192273585,continental,Resident,0.176911353,0.006637033,0.009691934,0.15540941,altricial,34.9,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Acanthiza_ewingii,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,1,0.63,4,1.053359173,continental,Resident,0.330257656,0.013309694,0.015218092,0.17491013,altricial,NA,"Sayol, F., J. Maspons, O. Lapiedra, A. N. Iwaniuk, T. Székely, and D. Sol. 2016. Environmental variation and the evolution of large brains in birds. Nat. Commun. 7:13971.",,
Acanthiza_inornata,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,1,0.44,8.5,0.271703387,continental,Resident,0.292337723,0.126825609,0.011766421,0.109314459,altricial,37.5,"Sayol, F., J. Maspons, O. Lapiedra, A. N. Iwaniuk, T. Székely, and D. Sol. 2016. Environmental variation and the evolution of large brains in birds. Nat. Commun. 7:13971.",,
Acanthiza_lineata,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,5,0.51,6.7,0.552785158,continental,Resident,0.288451924,0.044855361,0.015324524,0.08969136,altricial,34.8,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Acanthiza_nana,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,2,0.37,7.25,0.18763419,continental,Resident,0.233932217,0.010375355,0.012865584,0.155475671,altricial,NA,"Sayol, F., J. Maspons, O. Lapiedra, A. N. Iwaniuk, T. Székely, and D. Sol. 2016. Environmental variation and the evolution of large brains in birds. Nat. Commun. 7:13971.",,
Acanthiza_pusilla,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,6,0.45,8.15,0.317756641,continental,Resident,0.291771053,0.033846454,0.015252389,0.098964812,altricial,33.8,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Acanthiza_reguloides,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,2,0.39,7.5,0.221266137,continental,Resident,0.24744954,0.008591212,0.013154563,0.243506176,altricial,28.4,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Acanthiza_uropygialis,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,7,0.36,6.4,0.230168177,continental,Resident,0.153365038,0.004586323,0.008945946,0.15540941,altricial,38,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Acanthorhynchus_tenuirostris,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,9,0.48,10.5,0.240213895,continental,Resident,0.325334789,0.030537059,0.014844268,0.122978767,altricial,28.1,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Accipiter_cirrocephalus,ACCIPITRIFORMES,Accipitridae,11,2.39,172,0.277429596,continental,Resident,0.244421018,0.008979151,0.010466942,0.00643964,altricial,64.1,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
Accipiter_cooperii,ACCIPITRIFORMES,Accipitridae,8,4.7,439,0.428232006,continental,Migrant,0.253550132,0.040677335,0.013040021,0.00163104,altricial,64.75,"Iwaniuk AN, Nelson JE (2003) Developmental differences are correlated with relative brain size in birds: a comparative analysis. Can J Zool 81: 1913-1928.",,
