Family,N,# species (Island),# species Mainland,Frequency,Mean Relative Brain Size (mm3)
Acanthizidae,64,2,62,0.031,0.401
Accipitridae,238,7,231,0.029,0.529
Aegithalidae,10,0,10,0.000,0.296
Alaudidae,91,1,90,0.011,0.265
Alcedinidae,93,17,76,0.183,0.293
Alcidae,23,0,23,0.000,0.196
Anatidae,156,8,148,0.051,0.076
Apodidae,101,10,91,0.099,-0.151
Ardeidae,62,0,62,0.000,0.248
Artamidae,11,1,10,0.091,0.286
Bombycillidae,8,0,8,0.000,0.243
Bucconidae,35,0,35,0.000,0.238
Bucerotidae,55,11,44,0.200,0.770
Burhinidae,9,0,9,0.000,0.126
Campephagidae,84,19,65,0.226,0.495
Cardinalidae,57,0,57,0.000,0.487
Cathartidae,7,0,7,0.000,0.519
Charadriidae,65,1,64,0.015,0.096
Chionidae,3,1,2,0.333,0.018
Ciconiidae,19,0,19,0.000,0.617
Cinclosomatidae,5,0,5,0.000,0.402
Cisticolidae,113,1,112,0.009,0.266
Climacteridae,7,0,7,0.000,0.321
Coliidae,6,0,6,0.000,0.131
Colluricinclidae,14,1,13,0.071,0.575
Coraciidae,12,1,11,0.083,0.307
Corcoracidae,2,0,2,0.000,0.652
Cotingidae,96,0,96,0.000,0.391
Cracticidae,12,0,12,0.000,0.714
Cuculidae,141,11,130,0.078,0.256
Dasyornithidae,3,0,3,0.000,0.493
Dendrocolaptidae,52,0,52,0.000,0.409
Dicaeidae,45,15,30,0.333,0.165
Dicruridae,23,2,21,0.087,0.509
Diomedeidae,22,1,21,0.045,0.632
Emberizidae,311,19,292,0.061,0.410
Estrildidae,136,7,129,0.051,0.217
Eupetidae,9,0,9,0.000,0.491
Eurylaimidae,15,2,13,0.133,0.339
Falconidae,64,2,62,0.031,0.537
Formicariidae,59,0,59,0.000,0.378
Fringillidae,163,27,136,0.166,0.432
Furnariidae,239,0,239,0.000,0.391
Galbulidae,18,0,18,0.000,0.033
Gaviidae,5,0,5,0.000,-0.044
Glareolidae,18,0,18,0.000,-0.048
Gruidae,15,0,15,0.000,0.308
Haematopodidae,11,0,11,0.000,0.213
Hydrobatidae,22,3,19,0.136,0.021
Icteridae,99,2,97,0.020,0.537
Jacanidae,8,0,8,0.000,-0.117
Laniidae,30,2,28,0.067,0.427
Laridae,98,3,95,0.031,0.224
Malaconotidae,53,0,53,0.000,0.569
Maluridae,27,0,27,0.000,0.316
Megapodiidae,21,6,15,0.286,-0.236
Melanocharitidae,12,0,12,0.000,0.204
Meliphagidae,176,33,143,0.188,0.330
Meropidae,26,0,26,0.000,-0.049
Mimidae,35,6,29,0.171,0.470
Momotidae,9,0,9,0.000,0.353
Monarchidae,96,44,52,0.458,0.315
Motacillidae,61,2,59,0.033,0.083
Muscicapidae,286,19,267,0.066,0.263
Musophagidae,23,0,23,0.000,0.341
Nectariniidae,124,13,111,0.105,0.238
Numididae,6,0,6,0.000,-0.231
Odontophoridae,30,0,30,0.000,-0.272
Oriolidae,30,9,21,0.300,0.441
Orthonychidae,6,0,6,0.000,0.673
Otididae,24,0,24,0.000,0.039
Pachycephalidae,37,8,29,0.216,0.511
Paradisaeidae,40,2,38,0.050,0.668
Pardalotidae,4,0,4,0.000,0.285
Paridae,51,2,49,0.039,0.588
Parulidae,114,5,109,0.044,0.238
Pelecanidae,8,0,8,0.000,0.639
Pelecanoididae,4,0,4,0.000,0.045
Petroicidae,44,4,40,0.091,0.352
Phalacrocoracidae,33,4,29,0.121,0.276
Phoeniculidae,8,0,8,0.000,0.464
Picidae,218,5,213,0.023,0.679
Pipridae,54,0,54,0.000,0.199
Pittidae,32,3,29,0.094,0.310
Platysteiridae,31,0,31,0.000,0.491
Ploceidae,106,6,100,0.057,0.529
Podicipedidae,19,0,19,0.000,-0.237
Polioptilidae,15,0,15,0.000,0.211
Pomatostomidae,5,0,5,0.000,0.695
Procellariidae,80,5,75,0.063,0.401
Psittacidae,354,59,295,0.167,0.927
Pteroclididae,16,0,16,0.000,-0.357
Ptilonorhynchidae,19,0,19,0.000,0.840
Pycnonotidae,125,7,118,0.056,0.394
Ramphastidae,121,0,121,0.000,0.374
Recurvirostridae,9,0,9,0.000,-0.167
Reguliidae,6,1,5,0.167,0.173
Rhinocryptidae,57,0,57,0.000,0.449
Rhipiduridae,42,15,27,0.357,0.152
Scolopacidae,88,5,83,0.057,-0.045
Sittidae,25,1,24,0.040,0.419
Spheniscidae,18,2,16,0.111,0.408
Stercorariidae,8,0,8,0.000,0.197
Strigidae,179,16,163,0.089,0.888
Sturnidae,109,17,92,0.156,0.437
Sulidae,10,0,10,0.000,0.822
Thamnophilidae,216,0,216,0.000,0.363
Thraupidae,256,1,255,0.004,0.474
Threskiornithidae,34,1,33,0.029,0.438
Timaliidae,326,18,308,0.055,0.579
Tinamidae,47,0,47,0.000,-0.355
Todidae,5,0,5,0.000,0.343
Trochilidae,334,4,330,0.012,-0.161
Troglodytidae,79,1,78,0.013,0.450
Trogonidae,43,1,42,0.023,0.280
Turdidae,168,14,154,0.083,0.371
Turnicidae,16,3,13,0.188,-0.272
Tyrannidae,413,2,411,0.005,0.149
Tytonidae,15,1,14,0.067,0.786
Vireonidae,52,0,52,0.000,0.381
Zosteropidae,99,49,50,0.495,0.223
